deska, pokus, záběr
nouze, iluze, výhra
papír, výraz, proud
aféra, skříň, proud
vklad, objem, koule
zápas, minus, deník
vláda, pokyn, sekce
papír, salát, zátěž
dívka, důvod, minus
scéna, hlava, koupě
model, návod, emise
pasáž, album, výběr
námět, motiv, oceán
porce, scéna, popel
salát, terén, páteř
úklid, výzva, únava
dosah, důraz, pocit
burza, návrh, důvod
odkaz, motor, léčba
edice, důkaz, odběr
délka, záměr, vstup
smích, látka, pokyn
trest, porce, opera
hmota, trest, dosah
okruh, bronz, léčba
dopad, výnos, smysl
poměr, pobyt, pokus
tunel, román, odhad
penze, třída, bitva
terén, okruh, režie
